AMBIENTE (LOCAL DO INTERRUPTOR),TAMANHO CAIXA,TIPO DE INTERFACE,INTERRUPTOR (AUTOMAÇÃO),CIRCUITO (LUMINOTÉCNICO),CIRCUITO (BELMAM),ACENDE ONDE,TIPO DE ILUMINAÇÃO,NOME FALADO (ACENDE O QUE?)
GARAGEM,4X2,MARCENARIA,32,4,2A,GARAGEM,FITA LED TENSIONADA 24V,ILUMINAÇÃO GARAGEM
GARAGEM,4X2,MARCENARIA,32,7,2B,DESPENSA,LED 24V + SPOT,ILUMINAÇÃO DESPENSA
DESPENSA,4X2,MARCENARIA,31,7,2B,DESPENSA,LED 24V + SPOT,ILUMINAÇÃO DESPENSA
LAVANDERIA,4X2,PORCELANATO,27,8,2C,LAVANDERIA,LED 24V,ILUMINAÇÃO LAVANDERIA
LAVANDERIA,4X2,PORCELANATO,27,8,2C,LAVANDERIA,EMBUTIDO PICCO,ILUMINAÇÃO LAVANDERIA
LAVANDERIA,4X2,PORCELANATO,27,9,2D,LAVANDERIA,PERFIL BANCADA,BANCADA LAVANDERIA
LAVANDERIA,4X2,PORCELANATO,25,8,2C,LAVANDERIA,LED 24V,ILUMINAÇÃO LAVANDERIA
LAVANDERIA,4X2,PORCELANATO,25,8,2C,LAVANDERIA,EMBUTIDO PICCO,ILUMINAÇÃO LAVANDERIA
LAVANDERIA,4X2,PORCELANATO,25,9,2D,LAVANDERIA,LED 24V,BANCADA LAVANDERIA
CIRCULAÇÃO DE SERVIÇO,4X2,ALVENARIA,23,10,2H,CIRCULAÇÃO DE SERVIÇO,EMBUTIDO PICCO,ILUMINAÇÃO HALL DE SERVIÇO
BANHEIRO DE SERVIÇO,4X2,PORCELANATO,24,11,2Z,BANHEIRO DE SERVIÇO,EMBUTIDO PICCO,ILUMINAÇÃO BANHO SERVIÇO
CIRCULAÇÃO DE SERVIÇO,4X2,ALVENARIA,21,9,2F,SAUNA,LED 24V,ILUMINAÇÃO SAUNA SUPERIOR
CIRCULAÇÃO DE SERVIÇO,4X2,ALVENARIA,21,10,2G,SAUNA,LED 24V,ILUMINAÇÃO SAUNA INFERIOR
ESCRITÓRIO,4X2,MARCENARIA,34,1,2L,ESCRITÓRIO,EMBUTIDO PICCO,ILUMINAÇÃO ESCRITÓRIO
ESCRITÓRIO,4X2,MARCENARIA,34,2,2M,ESCRITÓRIO,PENDENTE,PENDENTE ESCRITÓRIO
