AMBIENTE,TAMANHO CAIXA,TIPO DE INTERFACE,INTERRUPTOR (AUTOMAÇÃO),CIRCUITO (LUMINOTÉCNICO),CIRCUITO (BELMAN),ACENDE ONDE,TIPO DE ILUMINAÇÃO,NOME FALADO (ACENDE O QUE?),Coluna1
HALL SUPERIOR ,4X2,ALVENARIA,13,22,1C,BALIZADORES DEGRAUS,BALIZADOR EMBUTIDO,ILUMINAÇÃO DEGRAUS,
HALL SUPERIOR ,4X2,ALVENARIA,13,22,NOVO (A DAR NOME) ,MÓVEL,TENSOFLEX LED 24V,ILUMINAÇÃO FRIGOBAR,
HALL SUPERIOR ,4X2,ALVENARIA,13,23,6H,HALL SUPERIOR,EMBUTIDO PICCO,ILUMINAÇÃO ESCADA,
HALL SUPERIOR ,4X2,ACARTONADO,12,23,6H,HALL SUPERIOR,EMBUTIDO PICCO,ILUMINAÇÃO ESCADA,
HALL SUPERIOR ,4X2,ACARTONADO,12,23,NOVO (A DAR NOME) ,MÓVEL,TENSOFLEX LED 24V,ILUMINAÇÃO FRIGOBAR,
HALL SUPERIOR ,4X2,ACARTONADO,11,23,6H,HALL SUPERIOR,EMBUTIDO PICCO,ILUMINAÇÃO ESCADA,
HALL SUPERIOR ,4X2,ACARTONADO,11,23,NOVO (A DAR NOME) ,MÓVEL,TENSOFLEX LED 24V,ILUMINAÇÃO FRIGOBAR,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,16,24,6A,QUARTO,EMBUTIDO PICCO,ILUMINAÇÃO SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,16,25,6C,ARANDELA ESCRIVANINHA,INDEFINIDA,ESCRIVANINHA SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,16,27,6B,PRATELEIRAS DECORATIVAS,LED 24V,PRATELEIRAS SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,14,24,6A,QUARTO,EMBUTIDO PICCO,ILUMINAÇÃO SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,14,26,6D,ARANDELA CABECEIRA,INDEFINIDA,CABECEIRA SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,14,27,6B,PRATELEIRAS DECORATIVAS,LED 24V,PRATELEIRAS SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,15,24,6A,QUARTO,EMBUTIDO PICCO,ILUMINAÇÃO SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,15,26,6D,ARANDELA CABECEIRA,INDEFINIDA,CABECEIRA SUÍTE 1,
SUÍTE 1 FRENTE ,4X2,ACARTONADO,15,27,6B,PRATELEIRAS DECORATIVAS,LED 24V,PRATELEIRAS SUÍTE 1,
BANHEIRO SUÍTE 1 FRENTE,4X2,PORCELANATO,19,28,6F,ILUMINAÇÃO GERAL,EMBUTIDO PICCO,ILUMINAÇÃO BANHO 1,
BANHEIRO SUÍTE 1 FRENTE,4X2,PORCELANATO,19,29,6G,BANCADA LINEAR,LED 24V,BANCADA BANHO 1,
BANHEIRO SUÍTE 1 FRENTE,4X2,PORCELANATO,19,30,6E,SANCA CHUVEIRO,LED 24V,CHUVEIRO BANHO 1,
BANHEIRO SUÍTE 1 FRENTE,4X2,PORCELANATO,20,28,6F,ILUMINAÇÃO GERAL,EMBUTIDO PICCO,ILUMINAÇÃO BANHO 1,
BANHEIRO SUÍTE 1 FRENTE,4X2,PORCELANATO,20,29,6G,BANCADA LINEAR,LED 24V,BANCADA BANHO 1,
SUÍTE 2 FUNDOS ,4X2,ACARTONADO,9,31,6P,QUARTO,EMBUTIDO PICCO,ILUMINAÇÃO SUÍTE 2,JOEL VERIFICAR PICCO ACENDENDO 24V
SUÍTE 2 FUNDOS ,4X2,ACARTONADO,9,33,6Q,SANCA CORTINEIRO,LED 24V,CORTINEIRO SUÍTE 2,
SUÍTE 2 FUNDOS ,4X2,ACARTONADO,9,34,6L,PRATELEIRAS DECORATIVAS,LED 24V,PRATELEIRAS SUÍTE 2,
SUÍTE 2 FUNDOS ,4X2,ACARTONADO,8,31,6P,QUARTO,EMBUTIDO PICCO,ILUMINAÇÃO SUÍTE 2,JOEL VERIFICAR PICCO ACENDENDO 24V
SUÍTE 2 FUNDOS ,4X2,ACARTONADO,8,33,6Q,SANCA CORTINEIRO,LED 24V,CORTINEIRO SUÍTE 2,
